Movie,Lists,Tags,Description,Wikipedia,Average Rating,Comments
The View From Here (2017),Free On YouTube,,"Bay Area Chef, Mark Matheson has everything he ever wanted: A Restaurant of his own, the love of his girlfriend, Gillian and the respect of the culinary community. But in the wake of bad press and personal demons returning to haunt him, Mark struggles to hold onto everything. Before he can be called great, he'll have to learn to be okay, again.",,2.62,"★★½ Nice bunch of people involved on this very small film, not a bad effort by Kellen Garner who acted, wrote and Directed this. Found this by accident on a streaming site.
★★ The star and director of this movie was my old drama teacher. He was kind of insane. He talked about Disneyland a lot, and he threw an apple at me.
The movie was okay, I guess.
★★★½ smooth criminal and the hip hop number absolutely killed me. all the solos dresses were so gorg just what a night.
cry meter: 0/10
★★½ pretty good, but i have my issues with it (the editing being an example. some scenes changed too abruptly)"
The Mysterious Magician (1963),Literate Movies,,"The sister of a famous, but as yet uncaught, criminal named The Hexer is murdered. Inspector Higgins of Scotland Yard believes that The Hexer will surface to take his revenge on his sister's killers, and plans to set a trap to finally capture him. However, soon bodies start piling up, and it looks as if The Hexer may get away yet again.",,3.2,"★★★ Gesichtet wurde die DVD von Pidax. Fassungstitel: Der Hexer.
Ein Jahr bevor sich die Rialto des Stoffes annahm, produzierte das Zweite Deutsche Fernsehen eine Fassung für die Mattscheibe, so wie es sieben Jahre zuvor bereits der Süddeutsche Rundfunk mit seiner Version von ""Der Hexer"" tat. Wie schon dort ist auch hier nicht zu übersehen, dass es sich nicht um eine Produktion fürs Kino handelt, denn die Sets sind nicht so reichlich ausgestattet wie für die große Leinwand, doch das Schloss bietet mit seinen Geheimgängen, den Requisiten, beweglicherer Kamera und ein paar Außenaufnahmen optisch mehr als die theaterartige Inszenierung aus dem Jahr 1956. Auch wenn ich die Geschichte nun schon mehrfach durch Hörspiel- und Filmumsetzungen verfolgt habe, werde ich dieser nicht…
★★★ Einer der berühmtesten und prestigeträchtigsten Krimis von Edgar Wallace ist ohne Frage die Geschichte des Hexers. Bereits in der ersten Reihe deutsche Wallace Verfilmungen in den 30ern wurde ""Der Hexer adaptiert. Neben vielen weiteren Interpretationen aus anderen Ländern liess sich der süddeutsche Rundfunk die Geschichte in den 50ern auch für das Fernsehen verfilmen, wobei die vermutlich eher unbekannt ist. Etwas mehr Aufmerksamkeit erhielt die Adaption von Rainer Erler, der später den starken ""Fleisch"" drehen sollte, für Bavaria Film im Jahre 1963. Die Filme von Rialto unter der Leitung von Horst Wendtland florierten, doch ""Der Hexer"" war immer noch nicht verfilmt worden.
Erler überlegte sich für seinen Fernsehfilm nun eine eigene Herangehensweise. Vielleicht geschuldet des Budgets, aber mit Sicherheit auch der…
★★★ Looking at the reviews of this film here, I have the suspicion that most meant to write them for the Rialto production from a year later .
This entry here is the 1963 TV version, one of nearly a dozen adaptations of Edgar Wallace's book that came before.
This version is a bit more faithful to the source novel in that it features Mary Lenley, the secretary of crooked lawyer Messer, and her criminal brother John, two characters that were left out of the Rialto movie.
As a typical TV movie of its time, this HEXER looks very much stage bound and predominantly takes place in either Scotland Yard or Messer's London mansion (though from the looks of it ""castle"" would…
★★★½ I always liked the style of the old black and white Edgar Wallace-flicks. It had atmosphere and it had one of the most important things in the crime-genre. You never knew what will happen next (at least if you haven´t read the books before). There are a ton of famous german actors of the time and the films had comedy and thrill at the same time. It might be a little silly, but that only adds to the charme of it.....
★★★½ Ein Edgar Wallace Krimi, der sich dankenswerterweise nicht so ganz ernst nimmt.
★★½ Koksorgel slayed
★★★★ oh to be an eccentric old man living in a castle drugged out of my mind and playing the piano
★★★ oh mein gott bro 😭 ich hab den falschen ""der hexer"" geguckt, schwarz-weiß filme sehen alle gleich aus.. war aber iwie geil für so einen alten schinken
★★★ I love these Edgar Wallace movies. Every single dang character has two, (sometimes three!) identities - some even have personal mini-submarines. Don't miss the bear skin doorbell!
★★★½ Genau das richtige Maß an charmantem Sexismus und Anzüglichkeiten gepaart mit charismatischem Ermittler, klassischer Detektivromantik und einer Prise Gags, nahezu selbstreferentiellen Momenten und eleganter Missachtung der Physik. Die Alfred Vohrer-Edgar Wallace-Filme sind einfach schön anzusehen!"
Lost Ladies (2023),"IMDb Top 250; Stuff by women, about women; Top 250 Films by Women Directors; Written by Women; Top 5,000 Highest Rated On Letterboxd; for when you don't know what to watch; All movies rated 3.8 stars or higher (with at least 10,000 ratings); Top 100 Films by Asian Women Directors; Top 250 Films by Heart Rate; ✈️Best International Feature Film (Best Foreign Language Film) Academy Awards Submissions (1947 – 2025); Every film that has ever been on the IMDb Top 250; Top 100 Indian Films; ""Hindi Cinema Essentials""; Top 250 Global South Films; NETFLIX; Top 250 Romantic Comedy Films; Top 250 Films of the 2020s; Rogy's Essentials: Woman's Edition; Letterboxd’s Top 50 of 2024",Drama; Comedy; Romance,"In 2001, somewhere in rural India, two young brides get accidentally swapped on a train. In the ensuing chaos, they both encounter a host of colourful characters, resulting in hilarious and unexpected consequences.","In 2001, within the fictional state of Nirmal Pradesh, a young farmer named Deepak travels back to his village with his new bride, Phool Kumari. They board a heavily congested overnight passenger train alongside several other newlywed couples. Adhering to regional tradition, all the brides wear identical red bridal attire with their faces entirely concealed by a ghoonghat (veil). Deepak dozes off during the journey and wakes up abruptly at night, realizing the train has reached his station. In the ensuing rush and darkness, he accidentally disembarks with the wrong bride, leaving Phool behind on the train with another groom, Pradeep.

Deepak's family gathers to welcome the couple, only to discover the mistake once the bride lifts her veil. Unwilling to reveal her true identity, the woman gives the family a false name, Pushpa, and lies about her hometown. Meanwhile, at a distant railway station, Phool realizes the mix-up. However, because she does not know the name of Deepak's village or his phone number, the station master cannot assist her. Refusing to return to her own village out of fear of bringing social shame upon her family, Phool decides to remain at the platform in hopes that Deepak will return for her. She receives shelter and employment from Manju Mai, an independent woman who runs a tea stall on the platform.

A frantic Deepak files a missing person report with Sub-Inspector Shyam Manohar. Reviewing the details, Manohar grows suspicious of ""Pushpa"" and surmises she might be a runaway thief. He places her under surveillance, observing her selling jewelry, secretly using a mobile phone, and purchasing bus tickets. Unaware of the police investigation, the woman genuinely bonds with Deepak’s family, while Phool, working at the railway tea stall, learns to make kalakand and adapts to an independent lifestyle.

Believing she belongs to an organized gang, Manohar arrests the woman, discovering her real name is Jaya. Jaya confesses that she possesses an aspiration to study organic farming in Dehradun , but her family forcefully married her off to the abusive Pradeep. She explains that she used the chaotic train mix-up as an unexpected opportunity to escape her marriage.

Pradeep arrives at the police station to reclaim Jaya, immediately slapping her in front of the officers and threatening to extort his dowry from her mother. Manohar intervenes, stating that Jaya is an adult who cannot be legally forced to go with him. He releases Jaya and threatens to prosecute Pradeep for domestic violence and investigate the suspicious death of his first wife if he ever approaches Jaya again.

Before her arrest, Jaya had commissioned Deepak’s artistic sister-in-law, Poonam, to sketch a portrait of Phool, which Jaya printed onto missing person posters and distributed across local transit hubs. Spotting one of these posters at her station, Phool finally identifies her location and reunites with Deepak. Her safety secured, Jaya departs for Dehradun to freely pursue her higher education.",4.18,"My heart is so full after seeing Kiran’s such soulful sincere film. Cried like a baby . And seeing a packed house brings back the hope and faith in Hindi cinema and its audience . Beautiful writing, sincere and honest performances . Bliss
★★★★½ If no one got me, I know Aamir Khan Productions got me
★★★★½ no sandeep reddy vanga was harmed in this movie btw
★★★★ Wow, this movie really took me by surprise. The way it blends social satire with a hearty optimistic drama was really commendable. It neatly passes on its message with subtle commentary and flows along with effortless ease, keeping you engaged right through its 2 hours. The way they used the veil in such an ironical manner was just fantastic. Songs were simple and beautiful. Dialogues were sharply written. The pre climax and climax leave you on a gratifying high. Highly recommended feel good watch.
★★★★ Yeh ladki bahot dur tak jayegi Haa sir dehradun 800 km haina yaaha se
★★★★ ""My husband and son would get drunk and beat me up. And then they would say, 'A man who loves you has the right to hit you. One day, I exercised my right as well.""
★★★★★ Lost ladies? Nope more like ladies who found their way.
One wanted to just get married and stay put and the other wanted to taste her freedom and nothing was wrong about either of their dreams.
Two beautiful representations 🌸
Two lead women yet Manju Maai steals the show 🥰
★★★ you know, I liked that one of the girls' aspiration was to just find her husband and be married. representation matters.
★★★★½ Phool : 'Aap nahi h to hum kabhi nahi milti'.
Jaya: 'Agar tum nahi hoti na to humko hum nahi milti'
It was really refreshing and heartwarming experience at the start of the day for me. I watched the trailer of this during Fighter screening and the trailer gave a fun vibes but the movie altogether was totally different and turned out lot better than I expected. It's like a wonderful soothing musical symphony where every instruments like the performances, storytelling, characters, music, cinematography everything work so well complementing each other without losing it's beguling appeal. Everything surrounding this film was made honestly and with a lot of heart and they beautifully portrayed the core message they wanted to convey…
★★★½ Humans being nice my fav genre
★★★★½ to be literally honest, it was a huge mistake to watch this film not on the big screen
★★★★½ ""Yeh jaan hi le lega ghoongat sasura"""
Derma (2019),Got 15 Minutes to Spare?,,"Snow clad mountains, a mystical man, a traditional tattoo, and Karma at it's twisted best.",,3.0,"★★★ So should I get a tattoo?
Well made short film!
Deals with karma , on how it eats you out.
Must watch!"
Because of You (2020),foreign lgbt cinema,,"Growing up in a large, wealthy family, the three Yuan brothers never wanted for anything. Yuan Jun Cheng, Yuan Jun Dao, and Yuan Jun Ping all have different mothers though and were competitors for the fortune 500 business empire of their father. All started to change when Lin Xun, a poor young man who had previously helped Jun Cheng , was asked to call the father of the three Yuan brothers by his dying mother. Adding to the camaraderie is Jun Dao's room mate Yang Xiang and Jun Ping's best friend Yan Yue.",,3.08,"★★★ juncheng speaking in korean while everyone else is speaking in chinese where the conversations are understood by everyone is hilarious to me. the switching from korean to chinese and back to korean is funny to me as well omg.
★★★ at least it was cute, all i need is to see gays being happy 🥹
★★★★½ this was sooo cute took off half a star bc it was too short
★★★★ The best thing about this series is how the oldest brother continuously only speaks Korean to everyone around him speaking Chinese and that that for whatever reason is no problem to anyone! People would be having entire conversations in Chinese and he would just switch to Korean, everyone would understand and then answer in Chinese which he again would understand - bilingual disaster.
★★★½ thought this was going in an incentious direction at first but im glad it didnt !
★★½ i felt like i just watched the cliffnotes version of a full length kdrama at 2x speed but...i liked it? why? i could Not tell you.
★★½ me: am i suddenly fluent in Chinese? why do i understand the dialogue?
also me: *realises half the dialogue is Korean*
The switching back and forth between Chinese and Korean had me rolling ngl
★★★ this needed to be longer to flesh out the relationships tbh 😩
★ Agak gimana gt tiba² gini tiba² gitu . Maen kek sepotong². Au ah 😅😅
★★★ Its kind of ocnfusing but also not but it is but also not but it is but isnt but it is but also isnt but it also is but its technically not but it definitely is but also not
★★★★½ this show is so good but why is each episode less than 20 minutes 🫵🏻😞
★★½ Ini sebenernya punya potensi pengembangan cerita sih, tapi kenapa kok sangat menitik beratkan pada Yuan Jun Cheng dan Lin Xun, padahal kedua adiknya juga punya potensi cerita tapi kaya' cuma tempelan aja. Ceritanya juga biasa sih, malah cenderung meh. Trus lagi secara teknis aku ngeliat kaya webseries minum budget yg paling mahalnya adalah buat nyewa Hummer si Yuan Jun Cheng lmao"
Scales (2019),✈️Best International Feature Film (Best Foreign Language Film) Academy Awards Submissions (1947 – 2025); My Top films of last 25 years,,"Hayat, a 12-year-old strong-willed girl, lives in a poor fishing village governed by dark tradition, in which every family must give away a daughter to the sea creatures who inhabit the waters near by. In turn, the sea creatures are hunted by the men of the village. Saved from this ordeal by her father, Hayat is outcasted by her village and considered a curse. But Hayat never surrenders. When Hayat’s mother gives birth to her new-born brother, Hayat must accept the brutal custom by sacrificing herself to these creatures or find a way to escape.",,3.42,"★★★★ Gender roles are tied up with the supernatural in this bleak Saudi Arabian folk horror film. Scales focuses on a fishing village where every family must sacrifice a daughter to the sea monsters that inhabit the surrounding waters, while the men of hunt them for food. It's a Lovecraftian set up has clear themes of family and duty. The people of the village simply accept the situation as it is. They sacrifice their daughters and hunt the monsters as an act of ""courage"", without realising that they are only maintaining the status quo. The central character is young girl saved from sacrifice by her father who then grows up to challenge the norms of the village. The narrative is slow…
★★★★½ Find this film and see it.. fable like , makes a very strong statement against patriarchy without resorting to rhetoric in .. Saudi Arabia . And that country made this film their oscar entry. First time filmmaker . We have her the best film at SGIFF
★★★½ “ Oh mighty sea, our sacrifice is small. From the depth of your water and your sand, bless us with your maiden. We need her strength. We beg you, the drought has worsened. Our daughter is in your hands …”
While Saudi Arabia has taken some action to improve gender equality recently, culturally speaking, it's still a rather regressed society in terms of equal gender rights, something that explodes in the quiet, barren landscapes of the Musandam Peninsula ( Jazīrat Musandam ), home to a harsh life in more ways than one for Hayat (Basima Hajjar). A stunning debut feature film from Shahad Ameen, SCALES (سيدة البحر or Sayyidat al-Baḥri , 2019), is a curious addition to the myths of mermaids, even more so from…
★★★ Tradition on a remote island dictates that the men of the village must sacrifice their first born daughter to the sea in order for the village to receive the beneficence of the gods. When Hayat's turn comes, her father, in a moment of weakness, refuses to let her drown and raises her as though she had never been destined for a watery grave. This marks her out as cursed in the eyes of the village, denoted physically by the squamos appearance of her feet. The reason for the scales, mysterious at first, is made somewhat clearer when it's revealed that the sacrificial firstborn are transformed into mermaids by the hand of the Sea Maiden, to be harvested by the menfolk.…
★★★★½ ""you killed your daughter that night on the boat."" ""i also watched them eating her."" ""maybe there was another choice, who knows.""
can't believe y'all are sticking to your girlboss white feminist flicks after this dropped.
★★★★★ the circle of tradition, stalwart and perfect. shrouded guilt and guarded solemnity, hoisting wet tails onto dry land with guttural ignorance. the simple story of a girl cursed with rage from a tender age, a poetic enchantment retching water and sand.
a Saudi feminist fairytale luring you in like a landslide as it crashes against the banks, its soul screaming waves but billowing silently in the wind.
this is the film I’ve waited my entire life for.
“Whenever you feel rejected from society, your first instinct is to ask yourself, ""Why, and how can I be accepted within that society?”, never thinking that they might be wrong.” — Shahad Ameen.
on the eve of the full moon, the men of a…
★★ I'm developing a bit of a distaste for the kind of ultra hi-def digital cinematography that characterizes a lot of contemporary low-budget cinema. Scales is full of vivid, striking images--particularly of its arid Saudi Arabian landscapes--but rendered in a slightly uncanny way? I don't really have the vocabulary to explain what about it rubs me wrong, but it definitely cast a pall over the film as a whole.
On a conceptual level, I like a lot of what Scales is doing. Taking place in a kind of mythic desert island, the inhabitants observe a grim ritual of offering a daughter from each family to the inhabitants of the sea. Twelve-year-old Hayat was marked for sacrifice at birth, but rescued, at…
★★★½ All the Haunts Be Ours — A Compendium of Folk Horror: Volume 2
Beautifully filmed in stark black & white, this folk fantasy has only tinges of horror in its story about a coastal community that sacrifices its daughters to the sea in exchange for bountiful food stocks and prosperity. But when one father gets cold feet, his daughter grows to be a young social pariah who, nevertheless, leads the way in fighting back against the ""gods"" who keep them all subverted.
It's nice, and unexpected, to see a film from the Middle East that's all about undermining the patriarchy. But it turned out so well that Saudi Arabia even chose it as their Oscar submission for 2021. Perhaps the story…
★★★★★ رائع يا شهد أمين! أكثر شي عجبني اهتمامها بالهوية المحلية وهذا واضح في الأهازيج الفلكلورية وذكرت في أكثر من لقاء إنها مهتمة بالهوية المحلية والعربية وهذا شيء يسعدني، وثانياً المستوى الفني العالي وكيف إن الفلم قدر يخلق قصة وحبكة بأقل عدد ممكن من الحوارات وبمشاهد بصرية بالغة التأثير، وزيادة ميزة ثالثة فوق البيعة: روعة المعالجة والابتعاد عن المباشرة الفجة والكليشيهات والقصص المبتذلة. لمن شاهد الفلم: تقول المخرجة أن رمزية البحر في الفلم هو المرأة أو عالم المرأة المرسوم مسبقاً والمقولب وأظن أن المفهوم الأدق (عالم الحريم) فالأب ولإنه يحب ابنته يخشى إدخالها هذا العالم ويمنحها حريتها بدون قيود هذا المجتمع، لذا ينبذه الناس وينبذونها منتظرين أقرب فرصة ليتم التضحية بابنته ليستفيدوا منها لاحقاً لما تتحول لحرمة. لكنه يرضخ لاحقاً طمعاً…
★★½ في يوم ما راح أكتب كتاب عن ازمة السينما السعوديه واحط فيه كل المصايب الي شفتها بافلامنا .. او ليه الخساير على شي مايسوى نكتب سطر واحد وبس .. الرسايل الي مالها سنع باختصار .. شفت اغلب الافلام السعوديه القصيره والروائيه وللي هي للان تنعد عالاصابع .. دايماً اقول مثل ماقال الايطالي الكبير بروتشلي لما انسال ليه افلامك مافيها رسايل ؟ قال لاني ماني ساعي بريد ..
بالضبط انت منت ساعي بريد .. والعمل الفني اذا كان عظيم مهما كانت رسالته صدقني راح تستمتع فيه وتتجرد من مشاعرك وهذي الفكره الي انا دايم مؤمن فيها ان العمل عظيم يبقى عظيم اذا اقنعني فنياً تقدر تسوي فلم عن قضيه ماتهمني واحبه وهذا الي صاير في السينما
فرق كبير بين انك مخرج…
½ بديته علشانه قصير بس و ما رح اندم لو طلع سيئ بس ندمت على كل دقيقه ضاعت كل شوي اقول بيصير شي و ما يتغير ولا شي ما فيه لا قصه ولا شي يخش العقل أصلا
★★★ 🌏 March Around the World 2026 : Saudi Arabia 🇸🇦
The film’s greatest strength undoubtedly lies in its visual power. The black-and-white cinematography is strikingly beautiful. The textures are so tangible that you feel as if you could reach out and touch the sea, or the desert and smell the sea.
The story unfolds as a feminist allegory with the tone of a dark fairy tale. Through the character of Hayat, a young girl condemned by an archaic tradition, the narrative explores a fundamental struggle: the right to exist. Her desire to live and escape the sacrifice imposed by her community embodies a quiet yet powerful rebellion against the established order.
However, the story can at times feel repetitive, even if the film is short.
🦄 Fantasy Challenge 2026 : -With any kind of mythical creature -Non-English-speaking film"
Mono Lake (2004),UbuWeb MASTER LIST,,"Mono Lake is a document of a unique natural environment, a ""home movie"" of the artists' 1968 road trip, and an intimate view of three seminal figures in the earth art movement as they interact with the Western landscapes that are so central to their work.",,3.25,"★★★★ Mentally I'm here
★★★ Hangin with the fellas, talkin’ about rocks, god I wish that were me.
★★★½ I need to see more Smithson
1968 conceptual 8mm vacation videos of the otherworldly mineral-deposited shores of Mono Lake, from three major players of Land Art: Robert Smithson (Spiral Jetty, 1970), Michael Heizer (Double Negative, 1969), and Nancy Holt (Sun Tunnels, 1976), who shot most of this and did the final edit in 2004. Mono Lake, East of the Sierra's in California, is a personal favorite geological anomaly , so I was pleased to discover the shared affinity when digging into more of Holt's work. This is mostly interesting for its raw material: an investigation of a bizarre landform (sweeping vistas, sculptural mineral forms, crumbling hillsides), granted secondary interest by the art historical relevance of the human subjects (Smithson tumbling down a slope of sand and gravel),…
★★½ i liked the part where he threw himself down a hill and then chugged a beer and peed in a pit"
Dreams Come True (1984),The Weirdo's Videostore (aka The Weirdo's Paradise); Movies on rarefilmm.com; 💩 The Crappy Guide to “So Bad It’s Good” Flicks 💩,,"Boy discovers how to dream travel. Only in this senerio he appears in real life at the location of his dreams while his ""other"" body lies in bed. He then teaches his girlfriend how to dream travel and together they share the adventures of their dreams.",,2.73,"★★½ This odd Troma release came to me via watching the eerie little horror The Children the other week. Director of The Children Max Kalmanowicz only directed one other film...this one.
Young steelworker Lee (Michael Sanville) cares for his mother who lives in a vegetative state. He also experiences vivid dreams of sexual encounters and rollercoaster rides with an unknown beautiful girl. After a dream about a colleague being badly injured in an industrial accident happens in real life, Lee struggles to understand what's happening to him. It becomes even stranger when the girl from his dreams Robin (Stephanie Shuford) appears for a date he thinks he arranged in his dreams! Turns out Robin too can enter the same dreamlike state,…
★★★ What an oddball film. Haven't seen one this strange in awhile and I watch a lot of weird shit! Where do I begin... A psychedelic off kilter romance/horror where two lovers lead two parralel lives. One life based in reality and another connected between their dreams. During the day they hangout and do everyday kinda stuff while at night they travel to their dream world and go on all sorts of elaborate dates and adventures. Things get more intense when their dream bodies begin travelling to nightmarish dimensions and make believe worlds. Whoa!
I loved the low budget glowy FX that would occur when they left their bodies. I live for those kinda scenes and it added this trippy/experimental vibe…
★★★ | The short version: Allegations of astral rape, flashes of face-melting children, transcontinental resto-running! This is the best (and only) narcoleptic amnesiac astral love/hate romcom than has long-term sexual abuse and stoke survivors as its b-plot. After watching this, I’m confident my neighbors believe I own 3 very naughty puppies by the names of ‘Dafaq’, ‘Fowreal?’ and ‘Yugata Beshitting Mi’. Because I was screaming either one about every 5 minutes.
| The slightly less short version: What looks like the trailer for another movie preceeds the title of Dreams Come True swirling out of a vortex of sickly skin toned goo. Are you confused? You think you are now, but 80 minutes later, you’ll look back to this moment as…
★★★ Wow, this is some glorious WTF insanity.
The film opens like an action-packed trailer as it introduces us to the main character Lee and draws you down its 84 minute path shrouded in darkness as this film is one bag of incoherent laser-drenched mush. It's mostly a love story, occasionally a fantasy, and sometimes even a horror movie. Hell you even get to watch a few minutes of the horror flick The Children (which I've never seen before but looks like it's better than this?).
Lee and Robin are young lovers that encounter a shared magic power of travelling in their dreams to other places. This leads to eating at a fancy restaurant in Paris, stealing a pizza from a…
“ You’re too stoned to know you’re stoned! ”
Undefinable Troma obscurity about “dream travel” & the consequences therein. Never really decides on a genre, swerving between dark drama, weirdo sci-fi & cutesy romcom. I never knew where the fuck this thing was heading. Cool new wave score by the band Spooner. If you’re seeking out oddities this should scratch the itch. P.S. The VHS rip online has no nudity & the cuss words are all blanked out for some reason.
★★½ I can't believe I paid .99 to rent Dreams Come True because it looked like shit and they bleeped out all the cussin!!!!! I thought there would be more astral projection-outerbody fucking but that was just wishful thinking, this was all falling in love within a dream realm montage and a long scene of the lead characters going to a movie theater to watch The Children (the other movie directed by Max Kalmanowicz). I guess this is worth the price of admission if you like to see little muscular guys oiled up and running around in boxers or beating the shit out of a punching bag or feeding his mother baby food or being bullied at work for not jerking…
★★★ 2025: 🎃 Spooky Autumnal Vibing
At the edges of corny B-movie and elevated porno, this independent low-cost production by Tromo has unexpectedly great aspirations. First off, incredible poster design... a not-so-subtle hint at the para-nocturnal-emissions that probably sparked this concept. But once the film introduces astral projects and early, low-budget special effects, this film begins to dig into something perhaps more complex: an escapist, dissociative response to trauma.
This film really feels on to something, like an A24 remake could be great.
Tonally unhinged, this film is all over the place but really captures bewildering, confounding, and sometimes nightmarish sexual impulses. And the different ways people act on them.
This film was brought to my attention by @mommysnail .
★½ I tricked myself into watching another Troma movie again. Fuck.
On the other hand, there's some genuinely great concepts for a movie in here. An actual movie that focused on just one of the ideas here could work. As it is, it's all just neon dreaming.
★★ Holy shit! That WAS Richard France from Dawn of the Dead and The Crazies as the rapey uncle! This movie isn't very good, but it's so damn weird it holds your attention well enough for 90 minutes. I heard the original cut didn't have any nudity, but thank goodness a little was added; not sure, but would say it's likely what got this distributed by Troma .
Nice old school cheesy 80s optical effects for the astral projecting, an original unique soundtrack by a band called The Spooners , and a scene where the leading guy takes his girlfriend to a movie theater to see The Children with two glass bottles of beer stuffed into the crotch of his pants. It's weirdness counterbalances the lame and problematic moments well enough for a one time watch, but it's really not one I'd recommend unless it just falls in your lap.
★★★ So, I thought this was going to be Movie #3, an 80's T&A movie, for the Xanax & Strippers: The Todd Gaines Movie Challenge . But it is officially NOT on the list. You know why?
NO T&A! You can imagine my disbelief!
I mean, look at that poster, right? 80's hair. Topless and underwearless woman. With an IMDB reviewer hyping up a graphic sex scene, I thought this for sure was going to fulfill the status.
But honestly, I am glad I watched this film because it is bit of a gem. From what I've seen he likes, I could see Todd Gaines finding joy in this film. Essentially it's Inception, but instead of planting ideas into people's minds while they…
★★★★ A pretty nice comfy sci-fi fantasy, with that nostalgic cheap '80s feel, following a man struggling with emotional difficulties discovering he can astral project. I wouldn't say the lead is a good person, and I think the film knows that too, so be warned.
★★½ 🌽👻🥋1984 Month🤸‍♂️🎟️🗓️ Released 8/1/1984 - USA Very cool concept that is not well executed. It’s fun enough. If there was a great transfer to look at it might be more interesting. The poster art is laughably inaccurate. This is not a sex movie.
Ok.ru"
Sideshave (2024),The Weirdo's Videostore (aka The Weirdo's Paradise),,Recreation of a traumatic haircut from Carta's teenage years.,,5.0,"★★★★★ Beautiful and sad and hot. One of the most gorgeous pieces of trans art ever made. Carta’s work and existence changed my life. Truly one of the bravest artists I know.
Watch here: sideshave.com Resist the urge to scroll below the video to see the photos. Treat yourself, watch the film first.
I’m not big on the long eyeroll Letterboxd review, but until this world adds brutal sex displays to Art Appreciation courses we’ll forge our own damn world. Indulge me. We’re going for a walk through the whole thing. The broad, the inside-specific, the hyper-personal. Come on, pervert. Off we go.
It shouldn’t be lost what a miracle it is we even get to see Sideshave. Whenever I get to discuss work like this, I can’t avoid making this point: there aren’t a lot of people doing what Carta Monir and Sir Testimony do. Or more specially, there aren’t a…
★★★★★ with context here, the world of kink is very removed from me - besides some very rudimentary/hyper-specific things, i don’t understand a lot of the nuances and ins and outs of how kink, especially as intense as this, functions. watching something like sideshave definitely has me feeling like an outsider looking in …
with all this being said - sideshave is truly unlike anything i’ve seen before. it’s raw, it’s sexual, it’s perverted but still so intimate, so CATHARTIC, it’s just as brutal and bloody as it is touching and tender. transsexuality is understanding and embracing the malleability of the human form, and together carta and sir give such an explicit performance of this understanding… through blood and needles, through…
★★★★★ this piece will forever hold a huge place in my heart. the visceral depiction of trauma through these means is so gut-wrenching and primal, with the set radiating a mockery of all that is clinical and sterile. i adore these creators and i cannot overstate how much i love this project. would've killed to see it at the premiere. long live trans art dude. only we can tell our stories like this.
★★★★★ they finally put the film of the year on letterboxd 🙏
★★★★★ life changing experience
★★★★★ [2/2]
My second watch, just 20 minutes after the first ended.
In the first watch, I was appreciating the setting, the framing, the sound design. I felt inspired—""I could make something in this vein... *we* [myself and my girlfriend / scene partner, who joined me for my first, and only my first watch (she'd seen it once before already)] could make something like this"". I took heavy interest in the mechanical elements, the work that went into the assembly of this piece. As it progressed, I believed that I has found a new standard for the kind of work I would be interested in producing myself.
I didn't know how right I was.
The ending hit, and the gravity of…
★★★★★ Fuuuuck.
I’m honestly grateful that I get to see something like this. The working through of trauma is an immensely tasking act, and it also doesn’t have to be shared with anyone. But processing through this, the accounting of violence against oneself in such a way, is powerful and thought-provoking in terms of how I process my own traumas.
Intense and really confrontational. The sound design really made me think of Texas Chainsaw Massacre, especially with the sounds of the camera, and the sound of the razor being used as extended ambient noise.
Had me thinking a lot about the ways that kink can be used as a means of ownership over trauma, redressing a traumatic event within the context of a controlled environment with finite end. Here that context is made quite blunt!
Not giving this a star rating because that feels difficult.
★★★★★ the only way to watch this is porno theater style, like with a group of strangers
★★★★★ a full body religious experience in a way i have never experienced, the constant swaying of abject horror and delight is like no other. this for me is art as close to my soul as possible.
★★★★★ A true testament to the idea that you are more than your physical traits. Even if a part of who you are is forcibly removed, you can still be whole.

I don’t know if you have to go through *this* but you can still be whole."
The Lion Roars 2 (2012),,,A woman is disliked by men in her village because of her bad temper. She uses her martial arts skills to beat up men who are unfaithful to their wives.,,0.5,"½ This movie only cost me a dollar, but the 100 minutes of my life I spent watching it I will never get back.
It gives up on being a comedy after about 5 minutes. There are literally no jokes in the entirety of the movie. It's so strange, it's like they realised, and then tried to pivot this into being a drama part way through production, but they didn't have any of the necessary dramatic actors, script, sets, skills etc to pull that kind of shift off.
It says a lot that I spent most of the running time wishing I was watching the first movie again, like it was a warm blanket that would save me somehow and make…
½ Considering the success of the first movie, and the fact this movie has two of the biggest comedians in China, this was a painfully unfunny and overly aware of itself try hard."
